Source,Target,Timestamps
0,1,00:00:00:04
1,2,00:00:03:98
1,3,00:00:03:98
2,4,00:00:04:49
2,5,00:00:04:49
4,6,00:00:04:52
4,7,00:00:04:52
6,8,00:00:04:53
6,9,00:00:04:53
8,10,00:00:04:57
8,11,00:00:04:57
10,12,00:00:04:58
10,13,00:00:04:58
12,14,00:00:04:60
12,15,00:00:04:60
14,16,00:00:04:62
14,17,00:00:04:62
16,18,00:00:04:63
16,19,00:00:04:63
18,20,00:00:04:64
18,21,00:00:04:64
15,22,00:00:04:75
15,23,00:00:04:75
