Source,Target,Type
0,1,directed
1,2,directed
1,3,directed
2,4,directed
2,5,directed
4,6,directed
4,7,directed
3,8,directed
3,9,directed
8,10,directed
8,11,directed
7,12,directed
7,13,directed
12,14,directed
12,15,directed
14,16,directed
14,17,directed
9,18,directed
9,19,directed
18,20,directed
18,21,directed
20,22,directed
20,23,directed
11,24,directed
11,25,directed
24,26,directed
24,27,directed
26,28,directed
26,29,directed
